"registro","bridge5m","bridge20m","rasa5m","rasa20m","laje5m","laje20m"
"1102",23.136,18.699,16.963,14.505,21.032,18.461
"1103",23.088,18.652,17.225,14.721,20.674,17.463
"1104",21.915,18.461,17.891,14.481,19.365,17.463
"1105",20.77,18.247,18.366,14.481,19.627,16.392
"1106",19.318,18.2,17.701,13.906,19.08,15.939
"1107",19.389,18.224,17.582,14.266,17.867,16.32
"1108",20.579,18.033,17.153,14.457,18.961,16.677
"1109",22.633,18.271,17.272,14.505,19.46,16.725
"1110",23.521,18.485,17.011,14.361,18.675,17.153
"1111",23.328,18.438,16.868,13.834,19.413,17.344
"1112",23.208,18.39,17.153,13.786,19.341,17.701
"1113",23.905,19.651,17.439,13.858,20.341,17.962
"1114",23.472,19.532,17.486,13.81,21.151,18.343
"1115",23.761,19.532,17.701,13.738,21.795,17.249
"1116",21.581,19.08,18.937,13.738,18.818,16.32
"1117",20.507,18.533,20.079,14.05,18.295,16.225
"1118",19.865,18.057,19.436,13.954,18.461,16.463
"1119",18.889,17.701,19.984,14.146,18.913,15.843
"1120",19.103,17.748,20.484,13.882,18.533,16.725
"1121",19.698,18.58,20.103,13.93,18.152,16.368
"1122",20.77,18.461,20.412,14.002,18.271,16.368
"1123",22.082,18.58,20.126,13.834,17.915,16.582
"1124",22.178,18.438,19.984,13.714,17.938,16.796
"1125",22.417,19.199,19.199,13.978,19.127,17.082
"1126",22.274,19.27,18.343,14.098,20.674,17.772
"1127",22.465,19.103,18.747,14.17,20.96,18.414
"1128",22.274,19.008,19.127,14.218,18.271,16.654
"1129",20.674,18.057,18.771,14.625,19.46,16.677
"1130",18.794,17.629,18.961,13.762,18.771,17.296
"1131",19.318,17.415,18.747,14.122,17.915,16.392
"1132",18.794,17.701,19.032,14.266,17.915,16.272
"1133",18.937,17.582,19.27,14.314,17.796,16.677
"1134",20.841,18.01,17.605,14.409,16.939,16.511
"1135",22.13,17.938,17.867,14.146,18.2,16.701
"1136",22.753,18.414,17.13,14.481,18.152,16.963
"1137",22.896,17.796,17.177,14.601,19.555,16.987
"1138",22.992,18.39,16.844,14.936,19.46,17.153
"1139",23.04,18.699,17.962,14.673,20.388,17.724
"1140",23.208,19.508,18.533,14.792,18.652,17.011
"1141",20.603,17.796,17.51,14.601,17.582,17.225
"1142",20.412,17.748,17.843,14.697,18.152,17.51
"1143",19.127,17.463,18.557,14.768,18.461,17.891
"1144",18.913,17.51,18.2,14.697,19.484,18.081
"1145",18.889,17.653,18.247,14.649,19.555,18.129
"1146",21.366,17.962,17.915,14.697,19.199,17.558
"1147",21.461,18.081,18.438,15.485,19.246,17.843
"1148",21.151,17.724,18.509,15.939,18.771,17.724
"1149",22.441,17.701,18.889,15.843,18.794,17.724
"1150",22.824,18.366,18.366,15.581,19.793,17.772
"1151",22.633,18.319,18.01,15.366,20.126,18.081
"1152",23.232,18.723,18.01,15.986,20.913,17.867
"1153",21.27,18.58,18.271,15.891,18.604,17.843
"1154",20.341,18.224,18.675,15.366,19.555,18.675
"1155",19.627,18.224,19.032,15.509,19.841,18.081
"1156",19.46,18.129,19.674,15.103,19.603,17.558
"1157",19.151,18.343,19.532,16.201,18.913,18.366
"1158",20.15,18.176,19.199,17.368,18.509,17.605
"1159",21.628,18.366,18.937,18.295,19.508,18.271
"1160",21.939,18.366,19.389,18.057,19.246,18.081
"1161",22.8,18.39,19.413,18.818,19.318,18.105
"1162",22.681,18.247,19.532,16.987,19.793,18.247
"1163",22.657,19.08,19.651,16.892,20.269,18.247
"1164",23.569,19.127,20.412,16.749,20.269,18.414
"1165",23.304,19.151,20.507,16.63,19.579,18.366
"1166",20.746,18.39,20.65,16.368,18.985,18.628
"1167",20.936,18.604,20.484,16.034,21.963,19.341
"1168",19.698,18.604,20.913,15.652,20.841,20.103
"1169",19.698,18.485,21.294,15.509,21.079,19.984
"1170",20.174,18.58,21.533,15.509,19.984,19.627
"1171",21.628,18.889,21.7,15.605,20.793,19.294
"1172",22.393,18.604,21.509,15.605,20.055,18.985
"1173",22.417,18.604,21.437,15.867,19.436,18.889
"1174",21.772,18.747,21.724,15.318,19.698,18.842
"1175",22.585,19.627,20.484,15.652,20.531,18.889
"1176",22.92,19.127,20.841,15.509,20.889,19.08
"1177",22.992,19.175,21.652,15.151,20.817,18.794
"1178",21.246,19.08,21.772,15.247,20.46,20.007
"1179",20.222,19.127,21.748,14.816,20.841,20.46
"1180",21.056,19.746,22.058,14.721,21.509,20.698
"1181",20.674,19.555,22.393,16.606,21.437,21.103
"1182",20.531,19.484,22.585,15.39,21.103,21.032
"1183",21.485,19.508,22.681,15.127,20.984,20.817
"1184",21.795,19.698,22.705,15.079,20.913,20.841
"1185",22.561,19.294,22.729,15.294,21.246,20.269
"1186",22.082,19.08,22.824,15.342,21.127,20.15
"1187",22.561,19.175,23.016,15.461,20.936,20.031
"1188",22.585,20.031,23.136,16.034,21.079,20.555
"1189",23.232,19.651,23.16,15.724,21.342,21.032
"1190",22.345,20.198,23.088,18.533,21.39,20.65
"1191",21.485,19.888,22.465,16.844,21.366,21.008
"1192",20.936,20.007,21.939,18.152,22.513,21.413
"1193",21.079,20.007,21.867,16.177,21.413,21.127
"1194",20.96,19.984,22.058,16.153,21.724,21.413
"1195",22.13,20.507,22.25,16.058,21.318,21.223
"1196",22.872,19.841,22.106,15.939,21.223,20.96
"1197",22.896,19.579,22.25,15.867,21.604,20.46
"1198",22.848,20.079,22.417,17.034,21.533,20.507
"1199",23.04,20.388,22.441,15.7,21.652,20.674
"1200",22.896,20.436,22.489,16.368,21.342,20.198
"1201",23.16,19.912,22.513,16.558,21.461,20.936
"1202",23.472,20.365,22.465,15.199,20.936,20.317
"1203",21.724,20.341,22.417,15.533,21.366,21.246
"1204",21.127,20.555,22.369,17.034,21.27,21.127
"1205",21.199,20.674,22.321,16.01,21.581,21.103
"1206",21.39,20.65,22.321,15.867,21.604,20.865
"1207",21.008,20.65,22.202,15.986,21.032,20.913
"1208",21.819,20.674,22.25,15.915,21.294,21.127
"1209",22.345,20.65,22.298,15.915,21.342,21.199
"1210",22.011,20.579,22.226,16.01,21.724,21.223
"1211",22.585,20.627,22.417,15.963,21.628,21.246
"1212",22.92,20.722,22.657,15.986,21.557,21.223
"1213",23.16,20.77,22.729,17.605,21.557,21.318
"1214",23.016,20.984,22.848,17.13,21.485,21.27
"1215",22.513,20.865,22.824,16.487,21.461,21.318
"1216",21.7,21.127,22.417,15.939,21.987,21.366
"1217",21.628,21.079,22.705,16.463,22.345,21.557
"1218",21.366,21.056,22.274,16.511,22.681,21.939
"1219",21.366,21.103,22.657,16.201,22.178,21.867
"1220",22.441,20.984,22.896,16.153,21.939,21.724
"1221",23.16,20.865,22.944,16.177,22.034,21.604
"1222",22.848,20.841,22.992,16.129,21.819,21.294
"1223",23.4,20.96,23.016,16.392,21.963,21.485
"1224",23.232,20.889,22.274,16.654,21.795,21.604
"1225",23.328,21.032,22.274,18.771,21.772,21.628
"1226",23.256,20.913,22.226,16.225,21.891,21.581
"1227",22.609,21.127,22.513,15.676,21.676,21.557
"1228",21.724,21.223,22.633,15.891,21.915,21.795
"1229",21.676,21.318,22.8,16.153,22.776,22.369
"1230",21.724,21.533,22.92,15.103,22.393,21.963
"1231",21.795,21.413,22.992,16.129,22.489,21.223
"1232",21.461,21.27,23.016,16.249,22.226,21.724
"1233",22.441,21.294,23.352,15.867,22.13,22.13
"1234",22.537,21.366,23.424,16.01,22.154,21.987
"1235",22.585,21.342,23.376,15.843,22.154,22.011
"1236",23.04,21.342,23.424,15.581,22.13,21.987
"1237",23.016,21.342,23.304,15.27,22.178,21.939
"1238",23.328,21.437,23.28,15.891,22.25,21.963
"1239",22.992,21.485,22.848,15.557,22.082,21.987
"1240",22.705,21.509,22.729,15.151,22.8,22.13
"1241",22.011,21.604,22.417,17.177,22.369,21.533
"1242",22.345,21.676,21.652,16.439,22.609,21.485
"1243",21.867,21.533,22.681,16.487,22.944,21.987
"1244",22.345,21.557,22.585,16.773,22.321,22.034
"1245",22.489,21.628,22.824,15.796,22.585,22.226
"1246",22.8,21.485,22.705,16.654,22.633,21.867
"1247",23.088,21.461,22.657,16.796,22.465,21.819
"1248",23.352,21.581,22.657,16.749,22.393,22.154
"1249",23.617,21.533,21.795,16.939,22.345,22.106
"1250",23.641,21.533,22.489,17.225,22.369,22.154
"1251",23.424,21.604,22.657,15.915,22.465,22.011
"1252",22.848,21.748,22.657,16.01,22.25,22.13
"1253",22.178,21.724,22.465,14.984,22.489,21.939
"1254",22.25,21.843,22.345,16.606,22.369,22.034
"1255",22.178,21.867,22.417,16.272,22.465,21.963
"1256",22.154,21.819,22.082,17.415,22.417,22.13
"1257",22.369,21.867,22.202,16.296,22.369,22.25
"1258",22.968,21.795,22.202,15.939,22.345,22.106
"1259",22.417,21.891,22.657,15.557,22.465,22.202
"1260",23.016,21.867,22.992,15.605,22.417,22.226
"1261",22.944,21.915,22.92,15.676,22.393,22.154
"1262",23.4,21.867,22.729,15.461,22.369,22.154
"1263",23.328,21.867,22.944,15.581,22.729,22.13
"1264",23.064,21.963,22.657,15.294,22.321,22.13
"1265",22.729,21.891,22.705,15.461,22.489,21.915
"1266",22.417,21.987,22.585,15.676,22.465,21.891
"1267",22.681,21.987,22.585,15.509,22.369,21.772
"1268",22.561,21.987,22.298,15.27,22.25,21.557
